epoch,categorical_accuracy,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.7800917625427246,0.47642916440963745,0.9798517227172852,0.7677744030952454,1.170183539390564,0.9840885996818542
1,0.8370932340621948,0.28673455119132996,0.9911287426948547,0.8158610463142395,0.93559730052948,0.9910372495651245
2,0.8639311194419861,0.20690478384494781,0.9948161840438843,0.8111279010772705,0.8640230894088745,0.9898791313171387
3,0.8823421001434326,0.1584366112947464,0.9965858459472656,0.8512084484100342,0.7726317048072815,0.994310200214386
4,0.895764172077179,0.12567868828773499,0.9977683424949646,0.8612789511680603,0.7405621409416199,0.9952164888381958
5,0.9053966999053955,0.10447070002555847,0.9983648657798767,0.8687814474105835,0.7422389388084412,0.995065450668335
6,0.9137131571769714,0.08783645182847977,0.9986902475357056,0.8733635544776917,0.7512305378913879,0.9955689907073975
7,0.9200232625007629,0.07587695866823196,0.9989884495735168,0.8778952956199646,0.7177859544754028,0.9959214329719543
