epoch,categorical_accuracy,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.8125379681587219,0.38805949687957764,0.9868375658988953,0.8245216608047485,0.8613457083702087,0.9927995800971985
1,0.8745282292366028,0.19522711634635925,0.996025800704956,0.8452165126800537,0.7829752564430237,0.995065450668335
2,0.9025831818580627,0.12089566141366959,0.9982219934463501,0.8685800433158875,0.6960033774375916,0.9957703948020935
3,0.9210692048072815,0.08205126225948334,0.9990698099136353,0.8716012239456177,0.8204470276832581,0.9969285130500793
0,0.8234896659851074,0.36336949467658997,0.9886990189552307,0.8332326412200928,0.7846577167510986,0.9930009841918945
1,0.8739088177680969,0.1993674486875534,0.9957870244979858,0.8532729148864746,0.6434109807014465,0.9943605065345764
2,0.9027854800224304,0.12109090387821198,0.998176097869873,0.8637462258338928,0.6144490838050842,0.9959214329719543
3,0.921951413154602,0.08027605712413788,0.9991011023521423,0.8754783272743225,0.6805999875068665,0.9969285130500793
4,0.9358918070793152,0.056275006383657455,0.9995432496070862,0.8793554902076721,0.6923686265945435,0.9972809553146362
5,0.9467099905014038,0.041907865554094315,0.9997361898422241,0.8933534622192383,0.7482563257217407,0.9978348612785339
6,0.955517590045929,0.03137082979083061,0.9998300075531006,0.8939576745033264,0.8026229739189148,0.9976334571838379
7,0.9633575081825256,0.023939892649650574,0.9998936057090759,0.8964249491691589,0.8442198038101196,0.9978348612785339
