epoch,categorical_accuracy,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.7700046300888062,0.5049620270729065,0.9782843589782715,0.7635447978973389,1.120315670967102,0.9839375615119934
1,0.829577624797821,0.3065459430217743,0.9905833601951599,0.7861530780792236,0.955348014831543,0.9888217449188232
2,0.8574719429016113,0.2232854962348938,0.9943875670433044,0.8332326412200928,0.8063068985939026,0.9932023882865906
3,0.8763824105262756,0.17216607928276062,0.9964523315429688,0.8368076682090759,0.693720281124115,0.9938066601753235
4,0.8910183310508728,0.13553617894649506,0.9974982738494873,0.8585599064826965,0.6530726552009583,0.9952164888381958
5,0.901607096195221,0.11216770857572556,0.9982168078422546,0.8685800433158875,0.650265634059906,0.9958711266517639
6,0.9104960560798645,0.09418749809265137,0.9987121224403381,0.8729103803634644,0.6725024580955505,0.9955186247825623
7,0.9174349904060364,0.08135082572698593,0.9989874362945557,0.8803625106811523,0.6648563146591187,0.996475338935852
